hour,speed,sensor_type,vehicle_type,registered,passenger_count,rash_driving_flag,vehicle_count
6,41.96,Infrared,Car,Registered,3,0,53
19,45.91,Loop,Car,Registered,4,0,55
14,54.71,Loop,Bus,Registered,4,0,75
10,46.89,Infrared,Motorbike,Registered,3,0,53
7,16.54,Camera,Motorbike,Unregistered,3,0,46
20,64.21,Infrared,Car,Registered,4,0,41
6,35.77,Camera,Car,Registered,1,0,44
18,76.67,Loop,Car,Registered,4,1,77
22,55.3,Camera,Truck,Registered,5,0,43
10,46.06,Infrared,Car,Registered,4,0,55
10,51.59,Loop,Bus,Registered,3,0,77
23,43.37,Infrared,Motorbike,Registered,2,0,35
20,37.7,Infrared,Car,Registered,5,0,46
3,48.11,Camera,Motorbike,Registered,3,0,24
7,58.27,Infrared,Car,Registered,1,0,63
23,38.03,Camera,Bus,Registered,2,0,31
2,35.67,Loop,Truck,Registered,5,0,35
21,39.67,Camera,Car,Registered,4,0,61
20,59.28,Loop,Car,Registered,5,0,65
1,66.79,Camera,Motorbike,Registered,3,0,33
23,50.43,Infrared,Truck,Registered,5,0,20
11,53.72,Camera,Car,Registered,5,0,84
5,35.55,Camera,Motorbike,Registered,1,0,43
1,58.15,Loop,Motorbike,Registered,3,0,31
20,53.28,Infrared,Motorbike,Unregistered,3,0,47
0,34.35,Camera,Car,Unregistered,2,0,31
11,18.18,Infrared,Motorbike,Registered,3,0,62
21,26.69,Camera,Truck,Registered,1,0,40
11,34.96,Camera,Car,Registered,3,0,74
16,62.43,Infrared,Car,Registered,1,0,58
9,68.29,Camera,Truck,Registered,4,0,80
15,38.41,Infrared,Car,Registered,4,0,67
14,38.88,Camera,Bus,Registered,5,0,77
14,48.92,Loop,Car,Registered,3,0,64
18,45.18,Infrared,Car,Registered,1,0,63
11,58.96,Camera,Bus,Registered,4,0,75
22,37.15,Camera,Car,Registered,2,0,43
19,59.24,Loop,Car,Registered,4,0,53
2,41.41,Infrared,Car,Registered,2,0,28
4,57.81,Camera,Motorbike,Registered,1,0,45
18,40.93,Loop,Car,Registered,4,0,36
6,35.8,Camera,Car,Registered,4,0,51
20,73.68,Infrared,Truck,Registered,1,0,62
8,60.98,Camera,Car,Registered,4,0,67
6,18.12,Camera,Motorbike,Registered,1,0,36
17,38.3,Camera,Car,Registered,4,0,67
3,63.07,Camera,Motorbike,Registered,2,0,49
13,27.05,Loop,Car,Registered,5,0,70
17,56.56,Loop,Truck,Registered,2,0,64
8,55.01,Infrared,Car,Unregistered,3,0,52
20,34.51,Loop,Car,Registered,1,0,42
1,44.87,Loop,Car,Registered,2,0,36
19,13.65,Infrared,Car,Registered,5,0,29
14,71.56,Loop,Car,Registered,5,0,75
6,40.36,Loop,Car,Registered,1,0,56
11,57.06,Infrared,Bus,Registered,1,0,78
7,54.21,Infrared,Car,Registered,2,0,38
14,65.37,Infrared,Car,Registered,4,0,63
2,38.5,Camera,Motorbike,Registered,3,0,31
13,48.06,Camera,Motorbike,Registered,1,0,81
16,53.39,Infrared,Car,Registered,3,0,50
3,58.09,Infrared,Car,Registered,5,0,32
17,62.32,Infrared,Car,Registered,4,0,57
7,37.84,Camera,Motorbike,Registered,2,0,62
3,35.04,Camera,Motorbike,Registered,2,0,23
1,65.4,Loop,Car,Registered,3,0,37
5,14.44,Loop,Bus,Unregistered,1,0,31
21,68.55,Infrared,Bus,Registered,3,0,52
9,40.47,Camera,Motorbike,Registered,3,0,67
3,44.93,Camera,Bus,Registered,1,0,33
21,34.76,Camera,Car,Registered,5,0,48
17,44.28,Infrared,Car,Registered,3,0,53
11,64.07,Loop,Car,Unregistered,4,0,80
1,56.56,Infrared,Car,Registered,3,0,27
9,52.39,Loop,Car,Registered,5,0,70
3,46.33,Loop,Truck,Registered,1,0,37
13,23.32,Infrared,Car,Registered,5,0,84
15,32.34,Loop,Car,Registered,2,0,65
14,39.85,Loop,Car,Registered,2,0,72
7,51.87,Camera,Truck,Registered,4,0,53
13,46.04,Loop,Car,Registered,5,0,72
22,59.75,Infrared,Car,Registered,4,0,17
7,52.1,Infrared,Car,Registered,4,0,51
20,45.82,Loop,Car,Registered,2,0,56
15,79.14,Camera,Truck,Registered,4,1,83
12,51.09,Camera,Truck,Registered,2,0,66
17,38.52,Loop,Car,Registered,1,0,54
14,72.9,Loop,Truck,Registered,5,0,61
20,63.01,Infrared,Motorbike,Registered,1,0,52
23,72.24,Loop,Bus,Registered,2,0,34
12,43.34,Camera,Car,Registered,3,0,73
8,59.64,Loop,Car,Registered,4,0,59
14,23.21,Infrared,Car,Registered,1,0,71
12,56.76,Infrared,Motorbike,Registered,3,0,69
0,42.63,Infrared,Car,Registered,3,0,32
6,24.67,Infrared,Car,Registered,2,0,40
8,60.49,Infrared,Car,Registered,4,0,65
23,17.85,Loop,Motorbike,Registered,3,0,25
0,16.31,Loop,Car,Registered,1,0,38
11,50.44,Loop,Motorbike,Registered,1,0,56
7,53.57,Loop,Truck,Registered,1,0,59
23,59.56,Infrared,Car,Registered,2,0,27
10,56.13,Camera,Motorbike,Registered,2,0,68
18,67.15,Loop,Car,Registered,5,0,66
16,55.5,Camera,Bus,Registered,3,0,75
7,43.02,Loop,Car,Registered,3,0,55
2,43.9,Loop,Motorbike,Registered,1,0,22
2,40.77,Camera,Bus,Registered,5,0,44
0,49.43,Infrared,Truck,Registered,4,0,22
4,28.54,Loop,Motorbike,Registered,1,0,28
9,50.11,Loop,Car,Registered,3,0,67
6,43.7,Loop,Motorbike,Registered,3,0,44
8,49.13,Camera,Bus,Registered,1,0,63
6,49.18,Infrared,Motorbike,Registered,3,0,27
8,8.22,Camera,Car,Unregistered,4,0,52
7,31.48,Camera,Truck,Unregistered,4,0,52
11,43.37,Infrared,Motorbike,Registered,3,0,60
1,44.17,Camera,Motorbike,Registered,2,0,20
0,48.89,Infrared,Car,Registered,2,0,26
15,49.54,Loop,Motorbike,Registered,3,0,69
22,67.74,Infrared,Car,Registered,1,0,35
22,49.69,Loop,Motorbike,Registered,2,0,25
23,40.3,Camera,Car,Registered,5,0,47
4,21.01,Camera,Motorbike,Registered,2,0,30
2,24.47,Loop,Truck,Registered,4,0,25
11,53.03,Camera,Car,Registered,1,0,57
7,60.91,Infrared,Truck,Registered,3,0,61
21,68.12,Loop,Car,Registered,1,0,44
2,32.58,Camera,Bus,Registered,2,0,33
0,40.44,Loop,Motorbike,Registered,2,0,39
2,48.64,Infrared,Motorbike,Registered,2,0,23
4,75.71,Infrared,Motorbike,Registered,1,1,47
14,46.72,Camera,Bus,Registered,2,0,60
13,68.27,Infrared,Car,Registered,5,0,76
2,47.55,Loop,Car,Registered,5,0,44
0,62.3,Infrared,Motorbike,Unregistered,2,0,27
4,60.4,Loop,Bus,Registered,2,0,49
22,47.49,Loop,Motorbike,Registered,3,0,51
13,29.69,Infrared,Motorbike,Registered,3,0,61
6,40.96,Camera,Car,Registered,5,0,46
8,67.34,Infrared,Bus,Registered,4,0,51
14,58.17,Loop,Car,Registered,5,0,70
14,38.5,Loop,Car,Registered,3,0,63
9,39.87,Infrared,Car,Registered,4,0,49
12,19.04,Camera,Car,Registered,1,0,75
18,66.67,Camera,Car,Registered,1,0,59
6,58.29,Loop,Car,Registered,3,0,51
16,42.94,Loop,Motorbike,Registered,2,0,65
19,48.0,Camera,Car,Registered,2,0,65
3,12.44,Infrared,Car,Registered,3,0,17
4,37.7,Loop,Car,Registered,4,0,38
22,65.02,Loop,Car,Registered,4,0,48
6,59.72,Camera,Car,Registered,1,0,63
12,49.96,Infrared,Car,Registered,4,0,63
14,44.78,Camera,Motorbike,Registered,1,0,69
10,56.95,Infrared,Motorbike,Registered,1,0,56
3,40.78,Infrared,Motorbike,Unregistered,2,0,44
12,20.03,Infrared,Car,Registered,2,0,69
6,44.91,Loop,Car,Registered,1,0,46
18,51.05,Camera,Bus,Registered,4,0,74
21,61.84,Camera,Car,Registered,3,0,48
1,23.38,Infrared,Car,Registered,5,0,26
9,43.16,Loop,Car,Registered,1,0,61
12,43.87,Loop,Car,Registered,2,0,73
20,28.48,Camera,Car,Registered,3,0,47
5,52.32,Loop,Car,Registered,2,0,40
11,56.21,Loop,Motorbike,Registered,1,0,79
11,40.64,Infrared,Car,Registered,4,0,67
19,75.83,Loop,Motorbike,Registered,2,1,66
10,40.21,Infrared,Motorbike,Registered,1,0,61
22,38.3,Camera,Bus,Registered,5,0,32
6,37.86,Loop,Motorbike,Registered,2,0,56
0,32.77,Camera,Truck,Registered,5,0,30
0,36.61,Camera,Car,Registered,2,0,35
19,23.49,Loop,Car,Registered,1,0,50
12,42.13,Loop,Car,Registered,3,0,72
8,45.86,Camera,Motorbike,Registered,3,0,66
2,10.76,Loop,Bus,Registered,5,0,31
6,43.47,Infrared,Car,Registered,2,0,39
5,45.63,Infrared,Truck,Registered,2,0,48
7,52.72,Loop,Car,Unregistered,5,0,51
8,63.07,Camera,Truck,Registered,2,0,66
4,57.77,Loop,Car,Unregistered,4,0,38
0,35.69,Loop,Car,Registered,1,0,25
18,33.95,Camera,Car,Registered,3,0,64
9,53.69,Camera,Car,Registered,1,0,88
11,36.79,Infrared,Car,Registered,3,0,59
23,26.58,Camera,Car,Unregistered,4,0,41
14,80.61,Infrared,Bus,Registered,2,1,72
21,40.34,Camera,Car,Registered,5,0,43
23,35.6,Loop,Car,Registered,4,0,44
8,12.12,Infrared,Motorbike,Registered,1,0,36
19,57.77,Infrared,Motorbike,Registered,2,0,40
16,30.18,Infrared,Car,Unregistered,2,0,56
16,45.43,Loop,Car,Registered,4,0,70
19,59.53,Loop,Car,Registered,5,0,58
11,30.42,Loop,Car,Registered,4,0,67
6,46.19,Loop,Motorbike,Registered,1,0,47
1,67.86,Loop,Car,Registered,2,0,42
2,8.15,Infrared,Car,Registered,3,0,1
16,32.84,Loop,Motorbike,Registered,2,0,57
4,31.43,Infrared,Car,Registered,2,0,28
16,42.2,Loop,Motorbike,Registered,3,0,70
23,44.28,Camera,Car,Registered,2,0,47
16,29.08,Infrared,Truck,Registered,3,0,50
16,35.18,Camera,Car,Registered,5,0,76
1,33.4,Infrared,Bus,Registered,3,0,20
1,39.74,Camera,Motorbike,Registered,2,0,32
21,48.27,Loop,Car,Registered,5,0,46
22,58.66,Loop,Motorbike,Registered,3,0,39
4,60.83,Loop,Truck,Registered,4,0,49
0,54.8,Infrared,Motorbike,Registered,1,0,27
0,31.89,Camera,Bus,Registered,5,0,29
18,44.95,Loop,Bus,Unregistered,2,0,64
1,80.61,Camera,Car,Registered,4,1,38
20,60.22,Camera,Car,Registered,1,0,55
11,38.39,Loop,Motorbike,Registered,1,0,55
5,68.73,Loop,Car,Registered,2,0,60
22,39.18,Camera,Bus,Registered,3,0,47
3,34.97,Loop,Truck,Registered,1,0,51
22,65.94,Loop,Car,Registered,1,0,52
10,25.36,Loop,Car,Registered,5,0,53
23,16.29,Infrared,Motorbike,Registered,3,0,26
16,59.12,Camera,Car,Registered,3,0,65
5,45.42,Camera,Bus,Registered,4,0,55
23,46.91,Infrared,Car,Registered,4,0,22
4,39.58,Camera,Motorbike,Registered,3,0,31
19,41.42,Loop,Car,Registered,3,0,39
1,38.13,Camera,Motorbike,Registered,2,0,29
5,35.61,Loop,Car,Registered,1,0,34
21,39.27,Infrared,Motorbike,Registered,3,0,26
10,38.8,Loop,Car,Registered,2,0,78
15,32.57,Camera,Motorbike,Registered,2,0,72
15,36.82,Camera,Bus,Registered,2,0,72
0,7.46,Camera,Car,Registered,5,0,37
